movie_id,movie_name,year,genre,director,cast
tt3679040,Kisi Ka Bhai Kisi Ki Jaan,2023,"Action, Comedy, Drama",Farhad Samji,"Salman Khan, Pooja Hegde, Venkatesh Daggubati, Jagapathi Babu"
tt15134398,King of Kotha,2023,"Action, Drama, Thriller",Abhilash Joshiy,"Dulquer Salmaan, Aishwarya Lekshmi, Soubin Shahir, Ritika Singh"
tt2016894,Ek Tha Tiger,2012,"Action, Adventure, Romance","Mathur Goswami, Kabir Khan","Salman Khan, Katrina Kaif, Girish Karnad, Roshan Seth"
tt13130760,HIT: The First Case,2022,"Action, Crime, Drama",Sailesh Kolanu,"Rajkummar Rao, Sanya Malhotra, Akhil Iyer, Jatin Goswami"
tt11976134,Singham Again,2024,Drama,Rohit Shetty,"Kareena Kapoor, Deepika Padukone, Akshay Kumar, Ranveer Singh"
tt2555736,The Second Best Exotic Marigold Hotel,2015,"Comedy, Drama, Romance",John Madden,"Judi Dench, Maggie Smith, Bill Nighy, Dev Patel"
tt0112870,Dilwale Dulhania Le Jayenge,1995,"Drama, Romance",Aditya Chopra,"Shah Rukh Khan, Kajol, Amrish Puri, Farida Jalal"
tt28259207,Kill,2023,"Action, Adventure, Drama",Nikhil Nagesh Bhat,"Lakshya, Raghav Juyal, Tanya Maniktala, Abhishek Chauhan"
tt7700730,October,2018,"Drama, Romance","Shoojit Sircar, Kuran Dhillon","Varun Dhawan, Banita Sandhu, Gitanjali Rao, Sahil Vedoliyaa"
tt15600222,An Action Hero,2022,"Action, Comedy, Crime",Anirudh Iyer,"Ayushmann Khurrana, Jaideep Ahlawat, Neeraj Madhav, Gautam Joglekar"
tt23554840,The Vaccine War,2023,"Drama, Thriller",Vivek Agnihotri,"Nivedita Bhattacharya, Anupam Kher, Girija Oak, Nana Patekar"
tt1093370,Jab We Met,2007,"Comedy, Drama, Romance",Imtiaz Ali,"Shahid Kapoor, Kareena Kapoor, Tarun Arora, Dara Singh Randhawa"
tt7838252,K.G.F: Chapter 1,2018,"Action, Crime, Drama",Prashanth Neel,"Yash, Srinidhi Shetty, Ramachandra Raju, Archana Jois"
tt10895576,Mimi,2021,"Comedy, Drama","Rajesh Bhatia, Laxman Utekar","Kriti Sanon, Evelyn Edwards, Pankaj Tripathi, Sai Tamhankar"
tt15832148,Afwaah,2023,"Drama, Thriller",Sudhir Mishra,"Nawazuddin Siddiqui, T.J. Bhanu, Bhumi Pednekar, Eisha Chopra"
tt13130308,Godfather,2022,"Action, Crime, Drama",Mohan Raja,"Chiranjeevi, Salman Khan, Nayanthara, Satyadev Kancharana"
tt8011276,Laila Majnu,2018,"Drama, Romance",Sajid Ali,"Avinash Tiwary, Triptii Dimri, Sumit Kaul, Abrar Qazi"
tt1166100,Ghajini,2008,"Action, Drama, Mystery",A.R. Murugadoss,"Aamir Khan, Asin Thottumkal, Jiah Khan, Aamir Naik"
tt5997666,Jab Harry Met Sejal,2017,"Comedy, Drama, Romance",Imtiaz Ali,"Shah Rukh Khan, Anushka Sharma, Björn Freiberg, Bruce Huther"
tt2082197,Barfi!,2012,"Comedy, Drama, Romance",Anurag Basu,"Ranbir Kapoor, Priyanka Chopra Jonas, Ileana D'Cruz, Saurabh Shukla"
tt1266583,Mumbai Meri Jaan,2008,Drama,Nishikant Kamat,"Paresh Rawal, Kay Kay Menon, Irrfan Khan, Madhavan"
tt7212754,Ludo,2020,"Action, Comedy, Crime",Anurag Basu,"Pankaj Tripathi, Abhishek Bachchan, Rajkummar Rao, Fatima Sana Shaikh"
